time,open,high,low,close,volume
1774789200,66849.88,66875.24,66524.28,66580.36,359.5639
1774792800,66580.36,66797.01,66461.0,66589.64,372.89659
1774796400,66589.64,66730.6,66334.37,66523.0,518.27098
1774800000,66523.01,66665.05,66435.75,66499.35,232.56305
1774803600,66499.36,66546.0,66158.26,66385.84,329.15631
1774807200,66385.84,66540.43,66321.66,66427.26,147.43013
1774810800,66427.27,66477.81,66323.3,66348.62,285.67371
1774814400,66348.61,66793.83,66348.61,66614.05,280.05501
1774818000,66614.04,66756.51,66509.41,66710.12,220.10647
1774821600,66710.12,66710.12,65000.0,65860.31,2219.11979
1774825200,65860.31,66382.98,65859.91,66010.93,930.51742
1774828800,66010.93,67059.66,65800.59,66280.25,1328.87485
1774832400,66280.24,66834.79,66280.24,66653.74,685.87133
1774836000,66653.74,67450.0,66580.01,67121.01,1220.60217
1774839600,67121.01,67319.33,66977.62,67173.8,466.26604
1774843200,67173.8,67650.01,67167.92,67616.29,809.57231
1774846800,67616.28,67800.0,67442.0,67492.46,627.15632
1774850400,67492.46,67585.97,67278.53,67305.14,721.7835
1774854000,67305.14,67624.39,67227.88,67624.39,584.47106
1774857600,67624.39,67946.02,67604.56,67666.44,1729.15176
1774861200,67666.44,67698.62,67460.0,67495.46,607.44273
1774864800,67495.46,67518.37,67360.41,67488.53,255.63666
1774868400,67488.88,68042.3,67488.88,67680.45,790.86208
1774872000,67680.44,67979.93,67666.17,67899.59,627.65449
1774875600,67899.59,68169.65,67428.57,67529.52,1379.99177
1774879200,67529.52,67864.49,67088.73,67799.54,1205.57197
1774882800,67799.54,67896.89,67407.63,67629.4,964.70473
1774886400,67629.4,67641.65,67222.0,67368.1,660.26793
1774890000,67368.1,67465.2,66650.0,66828.02,917.71373
1774893600,66828.02,66929.18,66508.25,66653.46,498.11738
1774897200,66653.45,66664.57,66233.13,66550.05,597.89786
1774900800,66550.06,66691.48,66523.75,66651.4,324.61202
1774904400,66651.41,66994.17,66587.32,66809.3,481.422
1774908000,66809.3,66989.1,66683.72,66784.98,169.50316
1774911600,66784.97,66797.38,66419.79,66797.37,698.2419
1774915200,66797.38,67303.33,66544.51,67208.75,658.94529
1774918800,67208.74,68408.37,67050.0,67938.54,1458.05548
1774922400,67938.05,68096.87,67775.18,67943.43,435.18783
1774926000,67943.43,68009.99,67648.2,67704.74,387.87365
1774929600,67704.74,67979.38,67405.89,67544.01,1149.88888
1774933200,67544.01,67780.34,67400.0,67681.68,653.43122
1774936800,67681.69,67711.02,67333.33,67492.85,511.27605
1774940400,67492.86,67524.65,67103.32,67367.69,1579.98188
1774944000,67367.7,67496.0,66688.68,66778.33,897.84489
1774947600,66778.34,66924.33,65998.05,66124.99,1512.48446
1774951200,66125.0,66471.08,66100.01,66363.38,788.27557
1774954800,66363.38,66922.58,66240.14,66685.69,989.3859
1774958400,66685.69,66939.9,66520.71,66653.26,539.00678
1774962000,66653.27,67412.11,66653.27,67302.29,1087.22021
1774965600,67302.28,67767.87,66427.53,66587.45,1485.37387
1774969200,66587.46,67283.25,66587.46,66736.8,1025.58837
1774972800,66736.79,68030.19,66729.28,67665.83,1334.03651
1774976400,67665.83,68589.49,67403.81,67526.75,2195.81331
1774980000,67526.76,67947.98,67526.3,67854.05,426.40012
1774983600,67854.04,68029.41,67716.35,67838.8,435.2447
1774987200,67838.79,68267.27,67831.7,68265.53,693.06575
1774990800,68265.53,68410.3,67884.0,68277.99,494.48096
1774994400,68278.0,68341.16,67962.27,68172.87,755.55219
1774998000,68173.59,68371.1,68090.2,68284.48,610.99275
1775001600,68284.49,68343.77,67853.3,68330.75,542.79511
1775005200,68330.76,68378.64,67760.33,67782.73,966.68117
1775008800,67782.74,67913.98,67578.75,67668.89,1114.17912
1775012400,67668.9,68250.0,67668.9,68170.67,551.94514
1775016000,68170.67,68476.26,68005.33,68303.83,711.87735
1775019600,68303.83,68755.51,68150.0,68456.02,817.4812
1775023200,68456.01,69236.78,68456.01,69102.85,1241.29278
1775026800,69102.8,69310.0,68667.02,68692.0,1537.595
1775030400,68692.0,68851.35,68389.21,68670.16,1279.02403
1775034000,68670.15,68733.78,68390.25,68644.0,480.44871
1775037600,68644.01,68662.26,68407.08,68585.55,974.80784
1775041200,68585.55,68736.15,68505.91,68712.52,752.56981
1775044800,68712.52,68786.0,68248.3,68393.6,1365.22557
1775048400,68393.6,68681.25,67918.83,68116.07,1032.06992
1775052000,68116.06,68690.98,68059.38,68593.55,905.1708
1775055600,68593.56,68965.0,68428.94,68918.52,789.38357
1775059200,68918.52,68986.66,68610.0,68816.34,705.16345
1775062800,68816.35,69171.77,68247.17,68266.62,768.87563
1775066400,68266.62,68330.31,67939.28,68084.76,723.37275
1775070000,68084.76,68287.39,68028.19,68176.84,412.79717
1775073600,68176.84,68249.0,67964.48,68191.09,276.10606
1775077200,68191.09,68534.0,68171.56,68362.53,326.52766
1775080800,68362.53,68362.53,68070.38,68122.99,270.47066
1775084400,68122.99,68250.0,67996.89,68113.92,474.3294
1775088000,68113.92,68653.38,68050.0,68600.29,409.1904
1775091600,68600.29,68600.29,67050.84,67359.27,1944.08944
1775095200,67359.27,67359.27,66624.64,66852.99,1169.08434
1775098800,66852.99,66969.54,66500.0,66576.25,767.73135
1775102400,66576.25,66655.46,66217.07,66330.27,889.41375
1775106000,66330.27,66667.92,66311.0,66591.54,966.2787
1775109600,66591.54,66824.95,66548.45,66681.49,493.29026
1775113200,66681.48,66961.26,66557.33,66930.79,645.82875
1775116800,66930.79,66930.79,66180.0,66439.12,781.90752
1775120400,66439.12,66517.43,66294.0,66469.6,483.38047
1775124000,66469.6,66511.79,66229.55,66457.28,452.52391
1775127600,66457.28,66516.06,66167.1,66220.28,1122.63022
1775131200,66220.28,66248.51,65961.66,66052.71,1024.11018
1775134800,66052.71,66285.81,65712.12,66270.87,1225.30288
1775138400,66270.87,67104.86,66168.07,66868.18,1908.17735
1775142000,66868.17,66994.51,66646.36,66852.91,825.60342
1775145600,66852.91,67300.0,66759.28,67095.85,920.46412
1775149200,67095.85,67430.99,66666.66,66679.16,1455.89824
1775152800,66679.16,67065.35,66596.8,66981.99,929.27922
1775156400,66981.99,67109.09,66878.0,66975.99,436.15774
1775160000,66976.0,67100.0,66798.0,66939.25,284.18038
1775163600,66939.25,67012.09,66731.08,66935.93,272.54969
1775167200,66935.94,67037.48,66825.61,66982.48,352.22156
1775170800,66982.48,67096.68,66855.5,66901.99,444.18527
1775174400,66901.99,67000.0,66702.83,66785.86,388.08477
1775178000,66785.87,66905.61,66483.9,66630.0,613.9141
1775181600,66630.01,66750.57,66282.0,66533.81,625.3621
1775185200,66533.82,66724.17,66495.69,66579.97,581.20992
1775188800,66579.98,66699.99,66500.04,66602.66,733.15532
1775192400,66602.67,66808.5,66416.68,66600.35,822.39566
1775196000,66600.35,66800.0,66558.76,66796.79,434.2967
1775199600,66796.8,67247.38,66758.0,67042.08,883.37731
1775203200,67042.08,67288.0,66900.56,66965.39,717.16964
1775206800,66965.39,67007.93,66749.35,66859.58,291.40037
1775210400,66859.58,66898.97,66674.72,66883.08,215.33139
1775214000,66883.09,67057.42,66823.18,67017.44,215.91455
1775217600,67017.43,67370.42,66646.36,66722.16,808.01051
1775221200,66722.16,66735.62,66508.1,66672.0,554.93399
1775224800,66671.99,66990.59,66634.0,66929.81,530.03077
1775228400,66929.8,67028.37,66823.3,66827.15,465.79672
1775232000,66827.15,67069.0,66827.14,67010.46,361.0645
1775235600,67010.45,67067.0,66751.86,66855.01,378.12395
1775239200,66855.0,66930.0,66786.12,66812.03,187.13591
1775242800,66812.04,66911.19,66774.02,66885.74,289.39585
1775246400,66885.73,66919.61,66831.97,66831.98,141.97965
1775250000,66831.97,66970.18,66827.6,66964.21,378.17654
1775253600,66964.21,66970.17,66842.76,66888.76,287.42422
1775257200,66888.76,66964.3,66826.13,66964.3,525.44687
1775260800,66964.29,66968.28,66876.7,66893.39,159.1028
1775264400,66893.4,66924.48,66827.22,66852.0,418.46364
1775268000,66852.0,66919.41,66814.0,66844.83,138.81793
1775271600,66844.84,66910.22,66830.23,66832.18,86.81929
1775275200,66832.18,66876.32,66775.91,66860.73,180.50471
1775278800,66860.73,66936.72,66844.14,66916.29,629.01422
1775282400,66916.3,67049.94,66911.2,67013.24,254.32193
1775286000,67013.25,67052.99,66943.34,67014.96,664.43952
1775289600,67014.95,67057.42,66918.0,66940.0,398.19184
1775293200,66940.0,66994.52,66918.0,66988.05,295.09328
1775296800,66988.06,67167.0,66918.0,67167.0,290.85424
1775300400,67167.0,67232.72,67083.43,67156.93,363.18025
1775304000,67156.93,67185.0,67060.56,67097.87,140.59027
